Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
2022/5/18,333,scour,73933,5544,0,8,34,35,17,5,1
2022/5/19,334,glass,70920,5162,0,4,19,33,27,14,3
2022/5/20,335,gamer,69884,5238,1,4,17,28,26,18,6
2022/5/21,336,scrap,66814,4973,1,9,28,34,20,8,1
2022/5/22,337,money,67909,4928,1,7,26,36,21,8,1
2022/5/23,338,hinge,66431,4906,0,5,25,37,22,9,2
2022/5/24,339,album,63380,4809,0,5,26,35,24,9,1
2022/5/25,340,vouch,62723,4835,0,2,9,25,33,24,6
2022/5/26,341,asset,63188,4733,0,7,28,34,21,8,1
2022/5/27,342,tiara,63846,4842,0,8,36,33,17,6,1
2022/5/28,343,crept,60069,4562,0,4,27,38,22,7,1
2022/5/29,344,bayou,56839,4435,0,6,17,33,29,13,2
2022/5/30,345,atoll,60969,4741,0,6,28,36,21,8,1
2022/5/31,346,manor,62768,4802,0,6,27,34,21,10,2
2022/6/1,347,creak,63241,4797,0,5,21,32,25,14,3
2022/6/2,348,showy,61278,4770,0,2,16,37,30,13,2
2022/6/3,349,peach,65431,4957,1,13,38,32,13,3,0
2022/6/4,350,froth,58263,4432,0,5,22,35,25,11,1
2022/6/5,351,depth,56738,4329,0,6,28,39,20,6,1
2022/6/6,352,gloom,58478,4548,0,2,14,35,35,13,1
2022/6/7,353,flood,58991,4440,0,3,20,40,28,8,1
2022/6/8,354,trait,61026,4607,0,6,22,35,24,11,2
2022/6/9,355,girth,60020,4665,0,6,23,33,23,12,3
2022/6/10,356,piety,55376,4324,0,4,25,41,22,7,1
2022/6/11,357,goose,51958,4087,0,2,12,28,32,21,5
2022/6/12,358,float,56684,4323,1,12,30,32,18,6,1
2022/6/13,359,donor,53802,4142,0,3,27,38,23,7,1
2022/6/14,360,atone,59968,4762,2,16,34,29,14,4,1
2022/6/15,361,primo,55989,4391,0,3,22,38,25,10,2
2022/6/16,362,apron,53430,4112,0,7,30,38,19,5,1
2022/6/17,363,blown,54665,4251,0,6,23,35,26,10,1
2022/6/18,364,cacao,47205,4101,0,1,9,27,36,23,4
2022/6/19,365,loser,55359,4399,1,10,28,32,19,8,2
2022/6/20,366,input,50484,3950,0,5,30,38,21,6,1
2022/6/21,367,gloat,53342,4194,0,8,21,31,26,12,2
2022/6/22,368,awful,47645,3861,0,5,21,33,27,12,2
2022/6/23,369,brink,53111,4118,0,4,22,41,24,7,1
2022/6/24,370,smite,50617,3991,0,6,23,35,24,11,2
2022/6/25,371,beady,46089,3670,0,3,19,39,29,10,1
2022/6/26,372,rusty,50450,3954,0,9,37,34,13,5,1
2022/6/27,373,retro,47986,3848,0,6,24,35,24,9,1
2022/6/28,374,droll,47312,3844,0,2,16,31,31,17,3
2022/6/29,375,gawky,45645,3957,0,1,5,22,33,28,10
2022/6/30,376,hutch,44212,3758,0,1,12,28,28,21,9
2022/7/1,377,pinto,47248,3792,0,5,25,41,22,6,1
2022/7/2,378,egret,41765,3515,0,3,14,33,33,15,2
2022/7/3,379,lilac,40486,3461,0,2,17,38,29,12,1
2022/7/4,380,sever,42645,3591,0,2,13,27,29,21,7
2022/7/5,381,field,44578,3604,1,6,25,36,23,9,1
2022/7/6,382,fluff,47344,4049,0,0,4,25,44,23,4
2022/7/7,383,agape,43407,3671,0,2,18,36,27,15,3
2022/7/8,384,voice,42806,3484,1,5,24,35,25,9,1
2022/7/9,385,stead,47094,3933,1,6,20,27,28,16,3
2022/7/10,386,berth,41785,3494,0,7,24,35,24,9,1
2022/7/11,387,madam,40545,3430,0,3,13,35,34,14,2
2022/7/12,388,night,46910,3870,1,8,27,27,17,13,7
2022/7/13,389,bland,46246,3727,0,7,31,38,18,4,0
2022/7/14,390,liver,40549,3388,0,4,16,26,25,20,8
2022/7/15,391,wedge,39234,3353,0,2,11,32,37,17,2
2022/7/16,392,roomy,38769,3280,0,2,17,41,28,10,2
2022/7/17,393,wacky,39611,3345,0,3,18,39,27,10,2
2022/7/18,394,flock,42574,3548,0,4,22,37,27,9,1
2022/7/19,395,angry,39667,3358,0,5,27,38,21,7,1
2022/7/20,396,trite,42237,3685,0,4,14,22,22,23,15
2022/7/21,397,aphid,39086,3367,0,6,24,36,23,9,2
2022/7/22,398,tryst,43099,3665,0,3,26,41,23,6,1
2022/7/23,399,midge,36769,3111,0,2,18,39,28,10,2
2022/7/24,400,power,39813,3401,2,6,19,29,24,15,4
2022/7/25,401,elope,39228,3339,0,4,22,32,26,13,2
2022/7/26,402,cinch,39171,3507,0,2,15,24,22,25,13
2022/7/27,403,motto,38384,3285,0,1,11,36,36,14,1
2022/7/28,404,stomp,40650,3490,0,7,26,32,21,11,2
2022/7/29,405,upset,37791,3213,0,5,30,38,20,6,1
2022/7/30,406,bluff,37353,3171,0,2,14,42,31,10,1
2022/7/31,407,cramp,39250,3369,1,8,26,33,19,10,2
2022/8/1,408,quart,36662,3303,0,5,20,33,27,13,2
2022/8/2,409,coyly,34909,3380,0,0,4,17,28,35,15
2022/8/3,410,youth,38381,3327,1,5,17,31,29,15,3
2022/8/4,411,rhyme,37229,3336,0,4,22,39,25,8,1
2022/8/5,412,buggy,37350,3428,0,1,9,29,34,22,5
2022/8/6,413,alien,38841,3395,3,17,31,29,15,4,0
2022/8/7,414,smear,36223,3190,0,2,16,39,29,12,2
2022/8/8,415,unfit,35516,3187,0,3,24,38,25,9,1
2022/8/9,416,patty,36223,3019,0,2,16,39,29,12,1
2022/8/10,417,cling,37654,3312,0,4,20,34,27,13,2
2022/8/11,418,glean,37301,3243,0,6,23,37,24,8,1
2022/8/12,419,label,34198,3076,0,4,18,32,29,15,2
2022/8/13,420,hunky,35276,3185,0,1,11,33,25,22,7
2022/8/14,421,khaki,31652,2968,0,2,17,33,28,16,4
2022/8/15,422,poker,35376,3180,0,4,17,30,27,17,5
2022/8/16,423,gruel,35105,3087,0,3,19,39,29,9,1
2022/8/17,424,twice,35815,3173,1,6,28,38,21,6,1
2022/8/18,425,twang,34938,3172,0,3,22,43,25,7,1
2022/8/19,426,shrug,33965,2987,0,4,23,36,26,10,1
2022/8/20,427,treat,38245,3249,1,22,32,26,14,5,1
2022/8/21,428,waste,35617,3186,1,7,19,27,24,17,5
2022/8/22,429,merit,35888,3123,0,7,33,37,17,5,0
2022/8/23,430,woven,33549,2933,0,2,13,32,32,17,3
2022/8/24,431,needy,33700,2927,0,2,21,41,26,9,1
2022/8/25,432,clown,36737,3175,1,8,29,36,20,6,1
2022/8/26,433,irony,34716,3046,0,6,29,34,21,8,1
2022/8/27,434,ruder,31241,2784,0,2,16,33,29,16,4
2022/8/28,435,gauze,30214,2866,0,2,11,24,31,25,8
2022/8/29,436,chief,34281,3072,1,6,32,38,18,5,0
2022/8/30,437,onset,33660,3009,0,4,29,40,21,6,1
2022/8/31,438,prize,35343,3166,0,5,12,20,32,26,5
2022/9/1,439,fungi,31903,2928,0,2,18,41,28,9,1
2022/9/2,440,charm,35724,3149,1,12,32,34,16,5,1
2022/9/3,441,gully,31191,2877,0,1,9,27,31,25,7
2022/9/4,442,inter,32018,2889,0,6,25,36,23,8,1
2022/9/5,443,whoop,32733,2970,0,1,16,47,29,7,1
2022/9/6,444,taunt,32734,3022,0,4,19,27,21,16,13
2022/9/7,445,leery,30992,2873,0,3,17,37,28,12,2
2022/9/8,446,class,31962,3001,0,4,21,32,22,13,7
2022/9/9,447,theme,32172,2909,0,8,29,40,18,4,0
2022/9/10,448,lofty,29237,2777,0,4,19,34,27,13,3
2022/9/11,449,tibia,27887,2675,0,1,14,40,30,12,2
2022/9/12,450,booze,29147,2883,0,1,7,27,38,23,4
2022/9/13,451,alpha,29497,2706,0,3,19,40,28,9,1
2022/9/14,452,thyme,32142,2938,1,5,24,41,23,5,0
2022/9/15,453,doubt,33344,3011,1,12,32,34,16,4,0
2022/9/16,454,parer,37309,4130,0,0,4,11,15,22,48
2022/9/17,455,chute,33418,3073,0,11,37,36,12,3,0
2022/9/18,456,stick,33102,3038,1,9,36,35,14,4,0
2022/9/19,457,trice,35050,3430,0,5,24,25,18,17,11
2022/9/20,458,alike,31277,2843,0,6,20,33,27,12,2
2022/9/21,459,recap,31976,2900,0,5,30,35,21,8,1
2022/9/22,460,saint,34455,3119,1,14,35,29,15,5,1
2022/9/23,461,glory,31509,2893,0,6,30,39,19,5,0
2022/9/24,462,grate,32777,3077,1,14,29,28,16,8,3
2022/9/25,463,admit,28994,2677,0,10,25,34,22,8,1
2022/9/26,464,brisk,31706,2884,0,5,23,38,24,7,1
2022/9/27,465,soggy,30985,2888,0,2,18,38,28,11,2
2022/9/28,466,usurp,31355,3007,0,3,21,38,26,9,1
2022/9/29,467,scald,30477,2829,0,4,23,36,24,11,2
2022/9/30,468,scorn,31223,2859,0,8,31,35,20,6,1
2022/10/1,469,leave,28202,2696,0,4,16,34,31,12,1
2022/10/2,470,twine,30088,2775,0,6,28,40,20,5,1
2022/10/3,471,sting,32288,2969,1,10,30,33,18,8,2
2022/10/4,472,bough,32014,3060,0,3,17,35,28,13,3
2022/10/5,473,march,30935,2885,0,9,30,35,19,6,1
2022/10/6,474,sloth,32522,2987,1,10,38,34,13,3,0
2022/10/7,475,dandy,29026,2840,0,2,11,23,29,24,11
2022/10/8,476,vigor,26905,2642,0,2,15,35,31,14,2
2022/10/9,477,howdy,28408,2668,0,2,13,32,32,17,4
2022/10/10,478,enjoy,26878,2654,0,3,12,29,33,20,3
2022/10/11,479,valid,28575,2752,0,4,28,38,21,8,1
2022/10/12,480,ionic,29151,2947,0,2,13,25,28,21,11
2022/10/13,481,equal,27197,2677,0,5,23,35,25,11,2
2022/10/14,482,floor,28906,2752,0,3,23,44,24,6,0
2022/10/15,483,catch,30403,3123,0,7,18,20,15,16,23
2022/10/16,484,spade,30459,2854,1,8,29,36,19,6,1
2022/10/17,485,stein,31269,2965,1,12,34,32,16,5,1
2022/10/18,486,exist,28612,2805,0,5,24,38,23,8,1
2022/10/19,487,quirk,28322,2794,0,3,23,39,24,9,2
2022/10/20,488,denim,28741,2769,0,5,29,40,20,5,0
2022/10/21,489,grove,28637,2794,0,4,18,30,28,17,3
2022/10/22,490,spiel,29084,2810,0,7,32,36,19,6,1
2022/10/23,491,mummy,29279,3021,0,1,4,14,27,37,18
2022/10/24,492,fault,28947,2768,0,7,27,35,22,8,1
2022/10/25,493,foggy,28953,2817,0,2,13,35,32,15,3
2022/10/26,494,flout,30063,2904,0,6,28,37,21,7,1
2022/10/27,495,carry,27609,2615,0,4,22,35,24,12,3
2022/10/28,496,sneak,27905,2636,0,7,28,36,21,7,1
2022/10/29,497,libel,25156,2536,0,3,15,32,32,16,2
2022/10/30,498,waltz,24672,2496,0,2,11,29,35,19,3
2022/10/31,499,aptly,26498,2572,0,3,26,41,23,7,1
2022/11/1,500,piney,27502,3667,0,1,14,37,33,14,2
2022/11/2,501,inept,27670,2640,0,6,30,39,20,6,1
2022/11/3,502,aloud,29554,2819,1,18,31,30,15,4,1
2022/11/4,503,photo,27330,2565,0,5,34,43,15,3,0
2022/11/5,504,dream,29743,2751,5,14,31,29,15,4,1
2022/11/6,505,stale,31068,3013,2,19,30,27,15,6,2
2022/11/7,506,begin,26096,2439,0,6,26,36,23,7,1
2022/11/8,507,spell,27213,2531,0,4,24,37,24,9,1
2022/11/9,508,rainy,28984,2678,1,16,38,31,11,3,1
2022/11/10,509,unite,27467,2575,1,11,31,33,18,5,1
2022/11/11,510,medal,25993,2438,0,5,25,38,23,8,1
2022/11/12,511,valet,24660,2356,0,4,22,38,25,9,1
2022/11/13,512,inane,25085,2515,0,8,25,30,21,13,3
2022/11/14,513,maple,26536,2467,1,6,26,36,21,8,1
2022/11/15,514,snarl,27475,2650,0,5,21,31,24,15,4
2022/11/16,515,baker,25576,2541,0,5,16,23,24,22,10
2022/11/17,516,there,27465,2530,0,14,35,33,14,4,0
2022/11/18,517,glyph,29208,2899,0,2,23,49,20,5,1
2022/11/19,518,avert,24749,2400,0,7,26,35,22,9,1
2022/11/20,519,brave,24991,2396,1,6,17,27,27,18,5
2022/11/21,520,axiom,24288,2382,0,5,19,33,27,13,3
2022/11/22,521,prime,27437,2534,1,10,26,32,21,9,1
2022/11/23,522,drive,26663,2451,1,12,32,30,18,6,1
2022/11/24,523,feast,27705,2725,5,13,25,27,19,10,2
2022/11/25,524,itchy,24197,2329,0,8,28,40,18,5,1
2022/11/26,525,clean,26381,2424,1,17,36,31,12,3,0
2022/11/27,526,happy,25206,2356,0,6,28,39,19,6,1
2022/11/28,527,tepid,26051,2484,0,10,38,35,13,3,0
2022/11/29,528,undue,23739,2316,0,3,19,35,29,13,2
2022/11/30,529,study,25690,2405,0,6,30,33,19,10,2
2022/12/1,530,eject,22628,2200,0,2,11,35,36,14,2
2022/12/2,531,chafe,24646,2343,0,6,30,33,19,9,2
2022/12/3,532,torso,23873,2260,0,4,35,36,17,6,1
2022/12/4,533,adore,25577,2398,2,17,32,29,15,5,1
2022/12/5,534,woken,23153,2200,0,2,10,25,36,23,4
2022/12/6,535,amber,23509,2261,0,6,22,33,24,12,3
2022/12/7,536,joust,24899,2388,0,6,29,34,21,8,2
2022/12/8,537,infer,21199,1863,0,3,19,33,26,14,3
2022/12/9,538,braid,23640,2165,0,10,36,35,14,3,0
2022/12/10,539,knock,21157,2041,0,3,18,43,27,8,1
2022/12/11,540,naive,21947,2075,1,7,24,32,24,11,1
2022/12/12,541,apply,22873,2150,0,5,28,38,22,7,1
2022/12/13,542,spoke,24101,2224,0,6,31,38,19,5,0
2022/12/14,543,usual,20824,2048,0,3,20,39,27,10,1
2022/12/15,544,rival,22176,2127,0,7,27,35,22,8,1
2022/12/16,545,probe,22853,2160,0,6,24,32,24,11,3
2022/12/17,546,chord,22336,2088,0,7,39,38,13,3,0
2022/12/18,547,taper,22166,2108,0,8,28,30,20,11,3
2022/12/19,548,slate,26010,2422,6,14,33,27,13,5,1
2022/12/20,549,third,24137,2261,1,10,47,32,9,2,0
2022/12/21,550,lunar,22180,2036,0,5,32,40,17,4,0
2022/12/22,551,excel,20490,2034,0,1,13,34,34,15,2
2022/12/23,552,aorta,21937,2112,0,7,26,35,20,10,3
2022/12/24,553,poise,20281,1911,2,11,34,32,15,6,1
2022/12/25,554,extra,15554,1562,1,5,20,35,28,10,1
2022/12/26,555,judge,20011,2043,0,2,8,16,26,33,14
2022/12/27,556,condo,20879,2012,0,2,17,35,29,14,3
2022/12/28,557,impel,20160,1937,0,3,21,40,25,9,1
2022/12/29,558,havoc,20001,1919,0,2,16,38,30,12,2
2022/12/30,559,molar,21204,1973,0,4,21,38,26,9,1
2022/12/31,560,manly,20380,1899,0,2,17,37,29,12,2
