Word,letter occupancy,frequency,class,difficult,label
spill,0.606377678,0.009498868,0.285714286,0.334 ,1
spoke,0.736422521,0.000737824,0.428571429,0.334 ,1
brisk,0.614349776,0.001549431,0.285714286,0.334 ,1
chest,0.583457897,0.020305095,0.285714286,0.335 ,1
label,0.581963129,0.018393383,0.285714286,0.335 ,1
smelt,0.601395117,0.000283524,0.285714286,0.336 ,1
dream,0.406576981,0.04698864,0.142857143,0.336 ,1
peach,0.589436971,0.003864874,0.285714286,0.337 ,1
olive,0.579471849,0.004096998,0.285714286,0.338 ,1
power,0.619332337,0.131593891,0.571428571,0.338 ,1
treat,0.642252118,0.039475266,0.428571429,0.338 ,1
badge,0.694569008,0.002611401,0.428571429,0.339 ,1
train,0.627802691,0.041026355,0.428571429,0.339 ,1
alike,0.680617838,0.006077518,0.428571429,0.339 ,1
clown,0.440956652,0.002771401,0.142857143,0.340 ,1
chief,0.60737419,0.048467605,0.428571429,0.340 ,1
angry,0.408071749,0.01928126,0.142857143,0.341 ,1
cater,0.788739412,0.002496997,0.571428571,0.341 ,1
voice,0.776283009,0.086179553,0.714285714,0.342 ,1
nasty,0.541604385,0.005127465,0.285714286,0.342 ,1
fault,0.642252118,0.010821149,0.428571429,0.343 ,1
slate,1,0.003771195,0.857142857,0.344 ,2
upset,0.375685102,0.013402705,0.142857143,0.345 ,2
flood,0.493273543,0.012239596,0.285714286,0.346 ,2
ahead,0.437967115,0.046957966,0.285714286,0.346 ,2
judge,0.420528151,0.056462637,0.285714286,0.346 ,2
theme,0.591928251,0.020207271,0.428571429,0.347 ,2
elder,0.484803189,0.007962701,0.285714286,0.347 ,2
woken,0.495266567,0,0.285714286,0.348 ,2
robot,0.485799701,0.005717725,0.285714286,0.348 ,2
field,0.455406079,0.084950122,0.428571429,0.351 ,2
found,0.567513702,0.011073999,0.428571429,0.351 ,2
metal,0.4245142,0.020834836,0.285714286,0.352 ,2
feast,0.69058296,0.003829226,0.571428571,0.352 ,2
shire,0.935724963,0.000135959,0.857142857,0.352 ,2
spade,0.811659193,0.001048706,0.714285714,0.352 ,2
aloud,0.441953164,0.003654304,0.285714286,0.353 ,2
prime,0.762331839,0.020964991,0.714285714,0.354 ,2
cloth,0.537618336,0.007377415,0.428571429,0.355 ,2
allow,0.264573991,0.103410656,0.285714286,0.355 ,2
poise,0.899352267,0.003505081,0.857142857,0.355 ,2
glory,0.653213752,0.005928295,0.571428571,0.356 ,2
shown,0.536621824,0,0.428571429,0.356 ,2
blown,0.410563029,0.000436892,0.285714286,0.357 ,2
doubt,0.486297957,0.02590427,0.428571429,0.357 ,2
query,0.515196811,0.002144665,0.428571429,0.358 ,2
comma,0.397110115,0.00035399,0.285714286,0.358 ,2
madam,0.391629297,0.001064457,0.285714286,0.359 ,2
saute,0.991529646,0,1,0.359 ,2
liver,0.49875436,0.00478674,0.428571429,0.360 ,2
trait,0.733432985,0.007274617,0.714285714,0.360 ,2
flair,0.603886398,0.001091814,0.571428571,0.362 ,2
goose,0.834578974,0.003890573,0.857142857,0.362 ,2
panic,0.458893871,0.008184048,0.428571429,0.363 ,2
rusty,0.468858994,0.001493887,0.428571429,0.363 ,2
chunk,0.46287992,0.005327258,0.428571429,0.363 ,2
frame,0.785749875,0.024401264,0.857142857,0.364 ,2
canny,0.818136522,0.00033741,0.857142857,0.365 ,2
renew,0.450423518,0.003649329,0.428571429,0.365 ,2
grate,0.805181863,0.002945495,0.857142857,0.366 ,2
farce,0.806178376,0.000689742,0.857142857,0.366 ,2
humor,0.309915296,0.009180526,0.285714286,0.366 ,2
valid,0.435974091,0.004915237,0.428571429,0.366 ,2
album,0.179870453,0.014380116,0.142857143,0.366 ,2
youth,0.388639761,0.02593826,0.428571429,0.368 ,2
irony,0.659192825,0.005170574,0.714285714,0.368 ,2
trash,0.650722471,0.006974514,0.714285714,0.369 ,2
merit,0.531141006,0.006426534,0.571428571,0.369 ,2
unite,0.524165421,0.005709435,0.571428571,0.370 ,2
knock,0.263079223,0.018229238,0.285714286,0.370 ,2
hairy,0.768809168,0.00143254,0.857142857,0.370 ,2
sever,0.765819631,0.001568499,0.857142857,0.370 ,2
bland,0.643746886,0.001309846,0.714285714,0.371 ,2
booze,0.763826607,0.00123026,0.857142857,0.371 ,2
brine,0.884404584,0.000659897,1,0.371 ,2
mount,0.628799203,0.009595863,0.714285714,0.371 ,2
stove,0.749875436,0.005409331,0.857142857,0.371 ,2
ruder,0.516193323,0,0.571428571,0.372 ,2
medal,0.3836572,0.007834203,0.428571429,0.372 ,2
brink,0.617837569,0.002117307,0.714285714,0.373 ,2
equal,0.223716991,0.020590276,0.285714286,0.374 ,2
extra,0.09715994,0.023764579,0.142857143,0.374 ,2
stair,0.712007972,0.010801252,0.857142857,0.375 ,3
trice,0.842052815,0.000111088,1,0.375 ,3
moist,0.711509716,0.002788811,0.857142857,0.376 ,3
usual,0.206776283,0.016880429,0.285714286,0.376 ,3
chant,0.706527155,0.00391876,0.857142857,0.376 ,3
asset,0.43996014,0.015055764,0.571428571,0.377 ,3
bloke,0.697558545,0.000225492,0.857142857,0.378 ,3
gorge,0.692575984,0.001673784,0.857142857,0.378 ,3
trite,0.811160937,0.000266943,1,0.379 ,3
alien,0.673642252,0.011054931,0.857142857,0.379 ,3
crept,0.569506726,0,0.714285714,0.379 ,3
smite,0.807673144,0.000658239,1,0.379 ,3
exist,0.39262581,0.035017646,0.571428571,0.379 ,3
lapse,0.68410563,0.002021971,0.857142857,0.379 ,3
sneak,0.555555556,0.005482284,0.714285714,0.379 ,3
denim,0.318883906,0.001375338,0.428571429,0.380 ,3
maple,0.674638764,0.004023216,0.857142857,0.380 ,3
apply,0.380169407,0.037923348,0.571428571,0.380 ,3
grove,0.669157947,0.004818242,0.857142857,0.380 ,3
cramp,0.552566019,0.001697825,0.714285714,0.380 ,3
ample,0.428500249,0.002952127,0.571428571,0.381 ,3
snarl,0.670154459,0.001527877,0.857142857,0.381 ,3
unfit,0.189835575,0.000784249,0.285714286,0.381 ,3
piney,0.784255107,0,1,0.382 ,3
soggy,0.776283009,0.000875441,1,0.382 ,3
parer,0.775784753,0,1,0.383 ,3
spiel,0.772795217,0.000280207,1,0.383 ,3
squad,0.520677628,0.004897828,0.714285714,0.383 ,3
cling,0.518684604,0.005105911,0.714285714,0.384 ,3
donor,0.514200299,0.006506948,0.714285714,0.384 ,3
cargo,0.512207275,0.004539693,0.714285714,0.384 ,3
foray,0.750373692,0.00128912,1,0.385 ,3
vivid,0.264573991,0.003613682,0.428571429,0.385 ,3
shard,0.743896363,0.001239379,1,0.386 ,3
charm,0.495266567,0.006044357,0.714285714,0.386 ,3
wince,0.620328849,0.002164561,0.857142857,0.386 ,3
loser,0.610363727,0.004321662,0.857142857,0.387 ,3
slosh,0.732436472,0.00061513,1,0.387 ,3
chafe,0.729945192,0.000589431,1,0.387 ,3
showy,0.72894868,0.000409534,1,0.388 ,3
scrap,0.481315396,0.004906947,0.714285714,0.388 ,3
proxy,0.60488291,0.001602488,0.857142857,0.388 ,3
foyer,0.601893373,0.00152539,0.857142857,0.388 ,3
rival,0.348281016,0.009811407,0.571428571,0.388 ,3
beady,0.723467862,0.00020228,1,0.388 ,3
trope,0.720478326,0.000692229,1,0.388 ,3
trove,0.715495765,0.000515648,1,0.389 ,3
awful,0.100647733,0.008941769,0.285714286,0.389 ,3
stead,0.593921276,0.00036228,0.857142857,0.389 ,3
smear,0.582959641,0.002720831,0.857142857,0.390 ,3
rupee,0.707025411,0,1,0.390 ,3
naive,0.703537618,0,1,0.390 ,3
probe,0.69058296,0.006942182,1,0.391 ,3
shrug,0.44245142,0.011379906,0.714285714,0.391 ,3
taunt,0.697060289,0.00155938,1,0.391 ,3
tacit,0.573991031,0.000734508,0.857142857,0.391 ,3
adore,0.570004983,0.002152955,0.857142857,0.392 ,3
crank,0.688589935,0.002906531,1,0.392 ,3
manly,0.69058296,0.0006914,1,0.392 ,3
patty,0.683109118,0.003341764,1,0.392 ,3
choke,0.677628301,0.004853061,1,0.392 ,3
sloth,0.683607374,0.000385493,1,0.393 ,3
taper,0.682112606,0.000969949,1,0.393 ,3
chute,0.677130045,0.001278343,1,0.393 ,3
scorn,0.556053812,0.001450778,0.857142857,0.393 ,3
roomy,0.676631789,0.0008514,1,0.393 ,3
valet,0.676133533,0.000826529,1,0.393 ,3
sting,0.550572995,0.004237102,0.857142857,0.393 ,3
tangy,0.67513702,0.000520622,1,0.393 ,3
braid,0.671649228,0.002215131,1,0.394 ,3
twine,0.669157947,0.000829845,1,0.394 ,3
fewer,0.519681116,0.016455143,0.857142857,0.395 ,3
manor,0.540109616,0.001318965,0.857142857,0.395 ,3
lowly,0.540109616,0.000735337,0.857142857,0.395 ,3
gauze,0.658694569,0.000639172,1,0.395 ,3
molar,0.536123568,0.000332436,0.857142857,0.396 ,3
gully,0.534628799,0.000786736,0.857142857,0.396 ,3
chord,0.531141006,0.002264043,0.857142857,0.396 ,3
coyly,0.654210264,0.00020228,1,0.396 ,3
mince,0.650722471,0.002294717,1,0.396 ,3
atone,0.651718984,0.000209741,1,0.396 ,3
slump,0.523168909,0.004209744,0.857142857,0.396 ,3
input,0.158445441,0.00673327,0.428571429,0.396 ,3
rhyme,0.4040857,0.001936582,0.714285714,0.397 ,3
focus,0.285999003,0.077409391,0.714285714,0.397 ,3
woven,0.524663677,0.000987358,0.857142857,0.397 ,3
gamer,0.641753861,0.00042943,1,0.397 ,3
scald,0.641753861,0.000387151,1,0.397 ,3
lofty,0.516193323,0.001406841,0.857142857,0.398 ,3
gruel,0.629297459,0.000164145,1,0.399 ,3
snout,0.626307922,0.000683938,1,0.399 ,3
purge,0.624314898,0.001523732,1,0.399 ,3
abbey,0.504733433,0.001106737,0.857142857,0.399 ,3
bough,0.504235177,0.000562902,0.857142857,0.399 ,3
inane,0.621823617,0.000253679,1,0.399 ,3
shawl,0.620328849,0.001043731,1,0.399 ,3
mourn,0.497259591,0.002529329,0.857142857,0.399 ,3
piety,0.619332337,0.000980726,1,0.399 ,3
wedge,0.49227703,0.004766843,0.857142857,0.400 ,3
hoard,0.617837569,0.000974094,1,0.400 ,3
poker,0.61385152,0.002037722,1,0.400 ,3
dandy,0.613353264,0.000629223,1,0.400 ,3
gloom,0.369207773,0.001537825,0.714285714,0.400 ,3
yield,0.346287992,0.016086231,0.714285714,0.400 ,3
dodge,0.601395117,0.002591505,1,0.401 ,3
flock,0.475336323,0.004479175,0.857142857,0.401 ,3
caulk,0.601395117,0.000358964,1,0.402 ,3
gloat,0.599900349,0.000435234,1,0.402 ,3
heist,0.599900349,0.000315026,1,0.402 ,3
swill,0.59840558,0.000174093,1,0.402 ,3
needy,0.475336323,0.001649742,0.857142857,0.402 ,3
leery,0.596910812,0.00048,1,0.402 ,3
libel,0.470852018,0.000588602,0.857142857,0.403 ,3
homer,0.590931739,0.000513161,1,0.403 ,3
pleat,0.585450922,0.000305078,1,0.403 ,4
midst,0.454907823,0.005172232,0.857142857,0.404 ,4
creak,0.576482312,0.001441659,1,0.404 ,4
slung,0.578475336,0,1,0.404 ,4
elope,0.57797708,0.00021886,1,0.404 ,4
tipsy,0.573492775,0.000272746,1,0.405 ,4
enjoy,0.269058296,0.039767909,0.714285714,0.405 ,4
prick,0.567513702,0.00129741,1,0.405 ,4
perky,0.565520678,0.000392125,1,0.405 ,4
lunar,0.43996014,0.002682697,0.857142857,0.406 ,4
vouch,0.440458396,0.000407047,0.857142857,0.406 ,4
ulcer,0.437468859,0.001403524,0.857142857,0.406 ,4
undue,0.317389138,0.000858032,0.714285714,0.406 ,4
aptly,0.435475835,0.000984042,0.857142857,0.406 ,4
hinge,0.551569507,0.002507774,1,0.407 ,4
depth,0.293971101,0.011675865,0.714285714,0.407 ,4
royal,0.41305431,0.011683326,0.857142857,0.407 ,4
aroma,0.425510713,0.001925805,0.857142857,0.407 ,4
mummy,0.426008969,0.001372851,0.857142857,0.407 ,4
quart,0.548081714,0,1,0.407 ,4
joust,0.547085202,0.000189845,1,0.407 ,4
stein,0.542600897,0.002647049,1,0.408 ,4
march,0.535127055,0.007376586,1,0.408 ,4
oxide,0.422521176,0.001425908,0.857142857,0.408 ,4
scour,0.540109616,0.001492229,1,0.408 ,4
tiara,0.540109616,0.000419482,1,0.408 ,4
infer,0.296462382,0.00160995,0.714285714,0.408 ,4
agape,0.538614848,0.000255337,1,0.408 ,4
depot,0.408570005,0.002479588,0.857142857,0.409 ,4
torso,0.527154958,0.00237679,1,0.409 ,4
delve,0.525660189,0.001065286,1,0.410 ,4
robin,0.397110115,0.005672958,0.857142857,0.410 ,4
onset,0.40159442,0.002550883,0.857142857,0.410 ,4
flout,0.522172397,0.000324145,1,0.410 ,4
droll,0.518684604,0.000199793,1,0.411 ,4
midge,0.516193323,0.000237099,1,0.411 ,4
favor,0.473841555,0.027166033,1,0.411 ,4
crimp,0.512207275,0.000465907,1,0.411 ,4
froth,0.51021425,0.000486633,1,0.411 ,4
motto,0.385650224,0.001551918,0.857142857,0.412 ,4
amber,0.385650224,0.001215338,0.857142857,0.412 ,4
inter,0.38614848,0.000550467,0.857142857,0.412 ,4
cacao,0.503238665,0.000346529,1,0.412 ,4
cinch,0.49875436,0.000736166,1,0.413 ,4
excel,0.255605381,0.002482904,0.714285714,0.413 ,4
gawky,0.497259591,0.000124352,1,0.413 ,4
tryst,0.495266567,0.000247876,1,0.413 ,4
buggy,0.493273543,0.000803317,1,0.413 ,4
wacky,0.493273543,0.000795027,1,0.413 ,4
larva,0.371699053,0.001689535,0.857142857,0.413 ,4
aloft,0.490284006,0.000908602,1,0.414 ,4
stomp,0.468858994,0.001974717,1,0.416 ,4
berth,0.466865969,0.001562696,1,0.416 ,4
natal,0.467862481,0.000200622,1,0.416 ,4
primo,0.462381664,0.000116062,1,0.417 ,4
aorta,0.459890384,0.000178238,1,0.417 ,4
condo,0.455904335,0.002540106,1,0.417 ,4
thorn,0.456900847,0.001648913,1,0.417 ,4
thyme,0.455904335,0.002184458,1,0.417 ,4
howdy,0.454907823,0.000349016,1,0.418 ,4
hunky,0.45142003,0.000177409,1,0.418 ,4
egret,0.450423518,0.000353161,1,0.418 ,4
inert,0.326856004,0.000707151,0.857142857,0.418 ,4
admit,0.276033881,0.031313601,0.857142857,0.419 ,4
glean,0.441454908,0.001158965,1,0.419 ,4
whack,0.43996014,0.001667152,1,0.419 ,4
forgo,0.414050822,0.000905286,1,0.422 ,4
vigor,0.287992028,0.001396892,0.857142857,0.422 ,4
havoc,0.286995516,0.001421763,0.857142857,0.423 ,4
eject,0.285999003,0.001109224,0.857142857,0.423 ,4
apron,0.281514699,0.002058447,0.857142857,0.423 ,4
zesty,0.402590932,0.000174922,1,0.423 ,4
bluff,0.278525162,0.002668603,0.857142857,0.423 ,4
tepid,0.393124066,0.000528912,1,0.424 ,4
girth,0.393124066,0.000415337,1,0.424 ,4
quirk,0.390632785,0.001046218,1,0.424 ,4
atoll,0.3836572,0.000284353,1,0.425 ,4
ultra,0.246138515,0.000795027,0.857142857,0.427 ,4
avert,0.360737419,0.002104043,1,0.427 ,4
twang,0.362232187,0.000387151,1,0.428 ,4
pinto,0.358246139,0.000562073,1,0.428 ,4
fungi,0.236671649,0,0.857142857,0.428 ,4
cynic,0.235176881,0.000583627,0.857142857,0.428 ,4
fluff,0.2326856,0.000869638,0.857142857,0.429 ,4
wrung,0.353263577,0,1,0.429 ,4
bayou,0.334828102,0.001139068,1,0.430 ,4
epoxy,0.332835077,0.000538032,1,0.431 ,4
hutch,0.331340309,0.000452643,1,0.431 ,4
ionic,0.329845541,0.000141762,1,0.431 ,4
retro,0.323866467,0.000735337,1,0.432 ,4
tibia,0.318883906,0.000332436,1,0.432 ,4
whoop,0.313901345,0.000956685,1,0.433 ,4
alpha,0.183856502,0.004711299,0.857142857,0.433 ,4
waltz,0.306427504,0.000770156,1,0.434 ,4
lilac,0.293472845,0.000795027,1,0.435 ,4
recap,0.285999003,0.000230467,1,0.436 ,4
knoll,0.283009467,0.000596063,1,0.436 ,4
impel,0.264075735,0.000457617,1,0.438 ,4
axiom,0.244145491,0.000460933,1,0.440 ,4
inept,0.236173393,0.000674819,1,0.441 ,4
khaki,0.226208271,0.00084228,1,0.442 ,4
itchy,0.203786746,0.000378031,1,0.445 ,4
glyph,0.186846039,0.000138446,1,0.447 ,4
gecko,0.181863478,0.000268601,1,0.447 ,4
askew,0.178375685,0.000412021,1,0.448 ,4
aphid,0.176880917,0.000436892,1,0.448 ,4
usurp,0.102142501,0.000553783,1,0.456 ,4
nymph,0,0.000580311,1,0.467 ,4
