Word,letter occupancy,frequency,class,difficult,label
theme,0.591928251,0.020207271,0.428571429,0.347 ,B2
elder,0.484803189,0.007962701,0.285714286,0.347 ,B2
woken,0.495266567,0,0.285714286,0.348 ,B2
robot,0.485799701,0.005717725,0.285714286,0.348 ,B2
field,0.455406079,0.084950122,0.428571429,0.351 ,B2
found,0.567513702,0.011073999,0.428571429,0.351 ,B2
metal,0.4245142,0.020834836,0.285714286,0.352 ,B2
feast,0.69058296,0.003829226,0.571428571,0.352 ,B2
shire,0.935724963,0.000135959,0.857142857,0.352 ,B2
spade,0.811659193,0.001048706,0.714285714,0.352 ,B2
aloud,0.441953164,0.003654304,0.285714286,0.353 ,B2
prime,0.762331839,0.020964991,0.714285714,0.354 ,B2
cloth,0.537618336,0.007377415,0.428571429,0.355 ,B2
allow,0.264573991,0.103410656,0.285714286,0.355 ,B2
poise,0.899352267,0.003505081,0.857142857,0.355 ,B2
glory,0.653213752,0.005928295,0.571428571,0.356 ,B2
shown,0.536621824,0,0.428571429,0.356 ,B2
blown,0.410563029,0.000436892,0.285714286,0.357 ,B2
doubt,0.486297957,0.02590427,0.428571429,0.357 ,B2
query,0.515196811,0.002144665,0.428571429,0.358 ,B2
comma,0.397110115,0.00035399,0.285714286,0.358 ,B2
madam,0.391629297,0.001064457,0.285714286,0.359 ,B2
saute,0.991529646,0,1,0.359 ,B2
liver,0.49875436,0.00478674,0.428571429,0.360 ,B2
trait,0.733432985,0.007274617,0.714285714,0.360 ,B2
flair,0.603886398,0.001091814,0.571428571,0.362 ,B2
goose,0.834578974,0.003890573,0.857142857,0.362 ,B2
panic,0.458893871,0.008184048,0.428571429,0.363 ,B2
rusty,0.468858994,0.001493887,0.428571429,0.363 ,B2
chunk,0.46287992,0.005327258,0.428571429,0.363 ,B2
frame,0.785749875,0.024401264,0.857142857,0.364 ,B2
canny,0.818136522,0.00033741,0.857142857,0.365 ,B2
renew,0.450423518,0.003649329,0.428571429,0.365 ,B2
grate,0.805181863,0.002945495,0.857142857,0.366 ,B2
farce,0.806178376,0.000689742,0.857142857,0.366 ,B2
humor,0.309915296,0.009180526,0.285714286,0.366 ,B2
valid,0.435974091,0.004915237,0.428571429,0.366 ,B2
album,0.179870453,0.014380116,0.142857143,0.366 ,B2
youth,0.388639761,0.02593826,0.428571429,0.368 ,B2
irony,0.659192825,0.005170574,0.714285714,0.368 ,B2
trash,0.650722471,0.006974514,0.714285714,0.369 ,B2
merit,0.531141006,0.006426534,0.571428571,0.369 ,B2
unite,0.524165421,0.005709435,0.571428571,0.370 ,B2
knock,0.263079223,0.018229238,0.285714286,0.370 ,B2
hairy,0.768809168,0.00143254,0.857142857,0.370 ,B2
sever,0.765819631,0.001568499,0.857142857,0.370 ,B2
bland,0.643746886,0.001309846,0.714285714,0.371 ,B2
booze,0.763826607,0.00123026,0.857142857,0.371 ,B2
brine,0.884404584,0.000659897,1,0.371 ,B2
mount,0.628799203,0.009595863,0.714285714,0.371 ,B2
stove,0.749875436,0.005409331,0.857142857,0.371 ,B2
ruder,0.516193323,0,0.571428571,0.372 ,B2
medal,0.3836572,0.007834203,0.428571429,0.372 ,B2
brink,0.617837569,0.002117307,0.714285714,0.373 ,B2
equal,0.223716991,0.020590276,0.285714286,0.374 ,B2
extra,0.09715994,0.023764579,0.142857143,0.374 ,B2
stair,0.712007972,0.010801252,0.857142857,0.375 ,C1
trice,0.842052815,0.000111088,1,0.375 , C1
moist,0.711509716,0.002788811,0.857142857,0.376 ,C1
usual,0.206776283,0.016880429,0.285714286,0.376 ,C1
chant,0.706527155,0.00391876,0.857142857,0.376 ,C1
asset,0.43996014,0.015055764,0.571428571,0.377 ,C1
bloke,0.697558545,0.000225492,0.857142857,0.378 ,C1
gorge,0.692575984,0.001673784,0.857142857,0.378 ,C1
trite,0.811160937,0.000266943,1,0.379 ,C1
alien,0.673642252,0.011054931,0.857142857,0.379 ,C1
crept,0.569506726,0,0.714285714,0.379 ,C1
smite,0.807673144,0.000658239,1,0.379 ,C1
exist,0.39262581,0.035017646,0.571428571,0.379 ,C1
lapse,0.68410563,0.002021971,0.857142857,0.379 ,C1
sneak,0.555555556,0.005482284,0.714285714,0.379 ,C1
denim,0.318883906,0.001375338,0.428571429,0.380 ,C1
maple,0.674638764,0.004023216,0.857142857,0.380 ,C1
apply,0.380169407,0.037923348,0.571428571,0.380 ,C1
grove,0.669157947,0.004818242,0.857142857,0.380 ,C1
cramp,0.552566019,0.001697825,0.714285714,0.380 ,C1
ample,0.428500249,0.002952127,0.571428571,0.381 ,C1
snarl,0.670154459,0.001527877,0.857142857,0.381 ,C1
unfit,0.189835575,0.000784249,0.285714286,0.381 ,C1
piney,0.784255107,0,1,0.382 ,C1
soggy,0.776283009,0.000875441,1,0.382 ,C1
parer,0.775784753,0,1,0.383 ,C1
spiel,0.772795217,0.000280207,1,0.383 ,C1
squad,0.520677628,0.004897828,0.714285714,0.383 ,C1
cling,0.518684604,0.005105911,0.714285714,0.384 ,C1
donor,0.514200299,0.006506948,0.714285714,0.384 ,C1
cargo,0.512207275,0.004539693,0.714285714,0.384 ,C1
foray,0.750373692,0.00128912,1,0.385 ,C1
vivid,0.264573991,0.003613682,0.428571429,0.385 ,C1
shard,0.743896363,0.001239379,1,0.386 ,C1
charm,0.495266567,0.006044357,0.714285714,0.386 ,C1
wince,0.620328849,0.002164561,0.857142857,0.386 ,C1
loser,0.610363727,0.004321662,0.857142857,0.387 ,C1
slosh,0.732436472,0.00061513,1,0.387 ,C1
chafe,0.729945192,0.000589431,1,0.387 ,C1
showy,0.72894868,0.000409534,1,0.388 ,C1
scrap,0.481315396,0.004906947,0.714285714,0.388 ,C1
proxy,0.60488291,0.001602488,0.857142857,0.388 ,C1
foyer,0.601893373,0.00152539,0.857142857,0.388 ,C1
rival,0.348281016,0.009811407,0.571428571,0.388 ,C1
beady,0.723467862,0.00020228,1,0.388 ,C1
trope,0.720478326,0.000692229,1,0.388 ,C1
trove,0.715495765,0.000515648,1,0.389 ,C1
awful,0.100647733,0.008941769,0.285714286,0.389 ,C1
stead,0.593921276,0.00036228,0.857142857,0.389 ,C1
smear,0.582959641,0.002720831,0.857142857,0.390 ,C1
rupee,0.707025411,0,1,0.390 ,C1
naive,0.703537618,0,1,0.390 ,C1
probe,0.69058296,0.006942182,1,0.391 ,C1
shrug,0.44245142,0.011379906,0.714285714,0.391 ,C1
taunt,0.697060289,0.00155938,1,0.391 ,C1
tacit,0.573991031,0.000734508,0.857142857,0.391 ,C1
adore,0.570004983,0.002152955,0.857142857,0.392 ,C1
crank,0.688589935,0.002906531,1,0.392 ,C1
manly,0.69058296,0.0006914,1,0.392 ,C1
patty,0.683109118,0.003341764,1,0.392 ,C1
choke,0.677628301,0.004853061,1,0.392 ,C1
sloth,0.683607374,0.000385493,1,0.393 ,C1
taper,0.682112606,0.000969949,1,0.393 ,C1
chute,0.677130045,0.001278343,1,0.393 ,C1
scorn,0.556053812,0.001450778,0.857142857,0.393 ,C1
roomy,0.676631789,0.0008514,1,0.393 ,C1
valet,0.676133533,0.000826529,1,0.393 ,C1
sting,0.550572995,0.004237102,0.857142857,0.393 ,C1
tangy,0.67513702,0.000520622,1,0.393 ,C1
braid,0.671649228,0.002215131,1,0.394 ,C1
twine,0.669157947,0.000829845,1,0.394 ,C1
fewer,0.519681116,0.016455143,0.857142857,0.395 ,C1
manor,0.540109616,0.001318965,0.857142857,0.395 ,C1
lowly,0.540109616,0.000735337,0.857142857,0.395 ,C1
gauze,0.658694569,0.000639172,1,0.395 ,C1
molar,0.536123568,0.000332436,0.857142857,0.396 ,C1
gully,0.534628799,0.000786736,0.857142857,0.396 ,C1
chord,0.531141006,0.002264043,0.857142857,0.396 ,C1
coyly,0.654210264,0.00020228,1,0.396 ,C1
mince,0.650722471,0.002294717,1,0.396 ,C1
atone,0.651718984,0.000209741,1,0.396 ,C1
slump,0.523168909,0.004209744,0.857142857,0.396 ,C1
input,0.158445441,0.00673327,0.428571429,0.396 ,C1
rhyme,0.4040857,0.001936582,0.714285714,0.397 ,C1
focus,0.285999003,0.077409391,0.714285714,0.397 ,C1
woven,0.524663677,0.000987358,0.857142857,0.397 ,C1
gamer,0.641753861,0.00042943,1,0.397 ,C1
scald,0.641753861,0.000387151,1,0.397 ,C1
lofty,0.516193323,0.001406841,0.857142857,0.398 ,C1
gruel,0.629297459,0.000164145,1,0.399 ,C1
snout,0.626307922,0.000683938,1,0.399 ,C1
purge,0.624314898,0.001523732,1,0.399 ,C1
abbey,0.504733433,0.001106737,0.857142857,0.399 ,C1
bough,0.504235177,0.000562902,0.857142857,0.399 ,C1
inane,0.621823617,0.000253679,1,0.399 ,C1
shawl,0.620328849,0.001043731,1,0.399 ,C1
mourn,0.497259591,0.002529329,0.857142857,0.399 ,C1
piety,0.619332337,0.000980726,1,0.399 ,C1
wedge,0.49227703,0.004766843,0.857142857,0.400 ,C1
hoard,0.617837569,0.000974094,1,0.400 ,C1
poker,0.61385152,0.002037722,1,0.400 ,C1
dandy,0.613353264,0.000629223,1,0.400 ,C1
gloom,0.369207773,0.001537825,0.714285714,0.400 ,C1
yield,0.346287992,0.016086231,0.714285714,0.400 ,C1
dodge,0.601395117,0.002591505,1,0.401 ,C1
flock,0.475336323,0.004479175,0.857142857,0.401 ,C1
caulk,0.601395117,0.000358964,1,0.402 ,C1
gloat,0.599900349,0.000435234,1,0.402 ,C1
heist,0.599900349,0.000315026,1,0.402 ,C1
swill,0.59840558,0.000174093,1,0.402 ,C1
needy,0.475336323,0.001649742,0.857142857,0.402 ,C1
leery,0.596910812,0.00048,1,0.402 ,C1
libel,0.470852018,0.000588602,0.857142857,0.403 ,C1
homer,0.590931739,0.000513161,1,0.403 ,C1
pleat,0.585450922,0.000305078,1,0.403 ,C2
midst,0.454907823,0.005172232,0.857142857,0.404 ,C2
creak,0.576482312,0.001441659,1,0.404 ,C2
slung,0.578475336,0,1,0.404 ,C2
elope,0.57797708,0.00021886,1,0.404 ,C2
tipsy,0.573492775,0.000272746,1,0.405 ,C2
enjoy,0.269058296,0.039767909,0.714285714,0.405 ,C2
prick,0.567513702,0.00129741,1,0.405 ,C2
perky,0.565520678,0.000392125,1,0.405 ,C2
lunar,0.43996014,0.002682697,0.857142857,0.406 ,C2
vouch,0.440458396,0.000407047,0.857142857,0.406 ,C2
ulcer,0.437468859,0.001403524,0.857142857,0.406 ,C2
undue,0.317389138,0.000858032,0.714285714,0.406 ,C2
aptly,0.435475835,0.000984042,0.857142857,0.406 ,C2
hinge,0.551569507,0.002507774,1,0.407 ,C2
depth,0.293971101,0.011675865,0.714285714,0.407 ,C2
royal,0.41305431,0.011683326,0.857142857,0.407 ,C2
aroma,0.425510713,0.001925805,0.857142857,0.407 ,C2
mummy,0.426008969,0.001372851,0.857142857,0.407 ,C2
quart,0.548081714,0,1,0.407 ,C2
joust,0.547085202,0.000189845,1,0.407 ,C2
stein,0.542600897,0.002647049,1,0.408 ,C2
march,0.535127055,0.007376586,1,0.408 ,C2
oxide,0.422521176,0.001425908,0.857142857,0.408 ,C2
scour,0.540109616,0.001492229,1,0.408 ,C2
tiara,0.540109616,0.000419482,1,0.408 ,C2
infer,0.296462382,0.00160995,0.714285714,0.408 ,C2
agape,0.538614848,0.000255337,1,0.408 ,C2
depot,0.408570005,0.002479588,0.857142857,0.409 ,C2
torso,0.527154958,0.00237679,1,0.409 ,C2
delve,0.525660189,0.001065286,1,0.410 ,C2
robin,0.397110115,0.005672958,0.857142857,0.410 ,C2
onset,0.40159442,0.002550883,0.857142857,0.410 ,C2
flout,0.522172397,0.000324145,1,0.410 ,C2
droll,0.518684604,0.000199793,1,0.411 ,C2
midge,0.516193323,0.000237099,1,0.411 ,C2
favor,0.473841555,0.027166033,1,0.411 ,C2
crimp,0.512207275,0.000465907,1,0.411 ,C2
froth,0.51021425,0.000486633,1,0.411 ,C2
motto,0.385650224,0.001551918,0.857142857,0.412 ,C2
amber,0.385650224,0.001215338,0.857142857,0.412 ,C2
inter,0.38614848,0.000550467,0.857142857,0.412 ,C2
cacao,0.503238665,0.000346529,1,0.412 ,C2
cinch,0.49875436,0.000736166,1,0.413 ,C2
excel,0.255605381,0.002482904,0.714285714,0.413 ,C2
gawky,0.497259591,0.000124352,1,0.413 ,C2
tryst,0.495266567,0.000247876,1,0.413 ,C2
buggy,0.493273543,0.000803317,1,0.413 ,C2
wacky,0.493273543,0.000795027,1,0.413 ,C2
larva,0.371699053,0.001689535,0.857142857,0.413 ,C2
aloft,0.490284006,0.000908602,1,0.414 ,C2
stomp,0.468858994,0.001974717,1,0.416 ,C2
berth,0.466865969,0.001562696,1,0.416 ,C2
natal,0.467862481,0.000200622,1,0.416 ,C2
primo,0.462381664,0.000116062,1,0.417 ,C2
aorta,0.459890384,0.000178238,1,0.417 ,C2
condo,0.455904335,0.002540106,1,0.417 ,C2
thorn,0.456900847,0.001648913,1,0.417 ,C2
thyme,0.455904335,0.002184458,1,0.417 ,C2
howdy,0.454907823,0.000349016,1,0.418 ,C2
hunky,0.45142003,0.000177409,1,0.418 ,C2
egret,0.450423518,0.000353161,1,0.418 ,C2
inert,0.326856004,0.000707151,0.857142857,0.418 ,C2
admit,0.276033881,0.031313601,0.857142857,0.419 ,C2
glean,0.441454908,0.001158965,1,0.419 ,C2
whack,0.43996014,0.001667152,1,0.419 ,C2
forgo,0.414050822,0.000905286,1,0.422 ,C2
vigor,0.287992028,0.001396892,0.857142857,0.422 ,C2
havoc,0.286995516,0.001421763,0.857142857,0.423 ,C2
eject,0.285999003,0.001109224,0.857142857,0.423 ,C2
apron,0.281514699,0.002058447,0.857142857,0.423 ,C2
zesty,0.402590932,0.000174922,1,0.423 ,C2
bluff,0.278525162,0.002668603,0.857142857,0.423 ,C2
tepid,0.393124066,0.000528912,1,0.424 ,C2
girth,0.393124066,0.000415337,1,0.424 ,C2
quirk,0.390632785,0.001046218,1,0.424 ,C2
atoll,0.3836572,0.000284353,1,0.425 ,C2
ultra,0.246138515,0.000795027,0.857142857,0.427 ,C2
avert,0.360737419,0.002104043,1,0.427 ,C2
twang,0.362232187,0.000387151,1,0.428 ,C2
pinto,0.358246139,0.000562073,1,0.428 ,C2
fungi,0.236671649,0,0.857142857,0.428 ,C2
cynic,0.235176881,0.000583627,0.857142857,0.428 ,C2
fluff,0.2326856,0.000869638,0.857142857,0.429 ,C2
wrung,0.353263577,0,1,0.429 ,C2
bayou,0.334828102,0.001139068,1,0.430 ,C2
epoxy,0.332835077,0.000538032,1,0.431 ,C2
hutch,0.331340309,0.000452643,1,0.431 ,C2
ionic,0.329845541,0.000141762,1,0.431 ,C2
retro,0.323866467,0.000735337,1,0.432 ,C2
tibia,0.318883906,0.000332436,1,0.432 ,C2
whoop,0.313901345,0.000956685,1,0.433 ,C2
alpha,0.183856502,0.004711299,0.857142857,0.433 ,C2
waltz,0.306427504,0.000770156,1,0.434 ,C2
lilac,0.293472845,0.000795027,1,0.435 ,C2
recap,0.285999003,0.000230467,1,0.436 ,C2
knoll,0.283009467,0.000596063,1,0.436 ,C2
impel,0.264075735,0.000457617,1,0.438 ,C2
axiom,0.244145491,0.000460933,1,0.440 ,C2
inept,0.236173393,0.000674819,1,0.441 ,C2
khaki,0.226208271,0.00084228,1,0.442 ,C2
itchy,0.203786746,0.000378031,1,0.445 ,C2
glyph,0.186846039,0.000138446,1,0.447 ,C2
gecko,0.181863478,0.000268601,1,0.447 ,C2
askew,0.178375685,0.000412021,1,0.448 ,C2
aphid,0.176880917,0.000436892,1,0.448 ,C2
usurp,0.102142501,0.000553783,1,0.456 ,C2
nymph,0,0.000580311,1,0.467 ,C2
